Ref,Val,Package,PosX,PosY,Rot,Side
"R401","10k","R0603",120.148000,-120.373000,-90.000000,bottom
"R402","10k","R0603",118.606000,-120.373000,-90.000000,bottom
"R403","10k","R0603",122.505000,-120.373000,-90.000000,bottom
"R404","10k","R0603",124.302000,-120.373000,-90.000000,bottom
"R405","10k","R0603",125.709000,-120.373000,-90.000000,bottom
"R406","10k","R0603",127.048000,-120.221000,-90.000000,bottom
"R901","22","R0603",89.210000,-102.460000,0.000000,bottom
"R902","22","R0603",89.300000,-56.550000,0.000000,bottom
"R903","22","R0603",99.960000,-56.650000,0.000000,bottom
"R904","22","R0603",89.421721,-87.413000,0.000000,bottom
"R905","22","R0603",110.587000,-87.058000,0.000000,bottom
"R906","22","R0603",89.088279,-71.597000,0.000000,bottom
"R911","22","R0603",99.748279,-71.694928,0.000000,bottom
"R912","22","R0603",99.870000,-102.560000,0.000000,bottom
"R913","22","R0603",110.396000,-55.941000,0.000000,bottom
"R914","22","R0603",110.230000,-102.460000,0.000000,bottom
"R915","22","R0603",110.097000,-71.250000,0.000000,bottom
"R916","22","R0603",120.960000,-102.440000,0.000000,bottom
"C1","10n","C0603",205.223000,-65.032001,-90.000000,top
"C2","100n","C0603",194.485000,-64.810007,180.000000,top
"C3","10n","C0603",197.535000,-64.464000,-90.000000,top
"C4","100n","C0603",195.566000,-74.383000,0.000000,top
"C5","1u","C0603",195.633000,-72.297994,0.000000,top
"D1","NUP2105L","SOT-23",194.465000,-68.171500,-90.000000,top
"D2","B5819W","SOD-123",171.305000,-46.967000,90.000000,top
"D3","B5819W","SOD-123",134.431000,-68.041000,180.000000,top
"D4","B5819W","SOD-123",133.268000,-51.701000,180.000000,top
"D5","B5819W","SOD-123",133.687000,-57.809000,180.000000,top
"D9","1N4148WS","SOD-323",146.277000,-76.671452,0.000000,top
"D10","1N4148WS","SOD-323",146.415000,-78.754452,0.000000,top
"D11","LED-GREEN-0805","LED-0805",146.900095,-74.371453,180.000000,top
"D12","LED-GREEN-0805","LED-0805",151.550905,-78.754452,180.000000,top
"D13","LED-GREEN-0805","LED-0805",189.505000,-94.376000,180.000000,top
"D14","LED-GREEN-0805","LED-0805",190.715905,-97.861000,180.000000,top
"F10","Fuse-Pad-Pad","PAD-1206-PAD",137.361000,-50.609010,-90.000000,top
"J4","USB_B_Mini","USB-MINI-B-VERTICAL",125.448000,-124.077000,0.000000,top
"L1","470R@100MHz","L_0603_1608Metric",199.950000,-64.543000,-90.000000,top
"L2","470R@100MHz","L_0603_1608Metric",202.929000,-64.845000,-90.000000,top
"M1","Module-power_12and5V-0.1","power_12and5V",141.370254,-68.657402,0.000000,top
"M2","Module-vr-discrete-0.4","vr-discrete",177.880784,-46.330242,-90.000000,top
"M3","Module-knock-0.2","knock",173.170000,-46.621000,-90.000000,top
"M4","Module-ign8-0.2","ign8",117.439019,-110.338998,-90.000000,top
"M5","Module-wbo-0.5","wbo",204.231000,-61.417000,90.000000,top
"M6","Module-can-0.1","can",199.290663,-95.698502,-90.000000,top
"M7","Module-ign8-0.2","ign8",134.315000,-82.972999,180.000000,top
"M9","Module-mega-mcu144-0.7","mega-mcu144",182.295001,-83.674998,180.000000,top
"Q9","ISL9V3040D3ST","TO-252-2",124.916000,-51.221000,0.000000,top
"Q11","ISL9V3040D3ST","TO-252-2",125.583000,-68.342000,0.000000,top
"Q12","ISL9V3040D3ST","TO-252-2",192.610000,-30.013000,0.000000,top
"Q14","ISL9V3040D3ST","TO-252-2",124.916000,-59.416000,0.000000,top
"Q901","ISL9V3040D3ST","TO-252-2",89.150000,-97.480000,90.000000,top
"Q902","ISL9V3040D3ST","TO-252-2",89.240000,-51.570000,90.000000,top
"Q903","ISL9V3040D3ST","TO-252-2",99.900000,-51.670000,90.000000,top
"Q904","ISL9V3040D3ST","TO-252-2",89.361721,-82.433000,90.000000,top
"Q905","ISL9V3040D3ST","TO-252-2",110.381721,-82.433000,90.000000,top
"Q906","ISL9V3040D3ST","TO-252-2",89.028279,-66.617000,90.000000,top
"Q911","ISL9V3040D3ST","TO-252-2",99.688279,-66.717000,90.000000,top
"Q912","ISL9V3040D3ST","TO-252-2",99.810000,-97.580000,90.000000,top
"Q913","ISL9V3040D3ST","TO-252-2",110.260000,-51.570000,90.000000,top
"Q914","ISL9V3040D3ST","TO-252-2",110.170000,-97.480000,90.000000,top
"Q915","ISL9V3040D3ST","TO-252-2",110.048279,-66.617000,90.000000,top
"Q916","ISL9V3040D3ST","TO-252-2",120.900000,-97.460000,90.000000,top
"R9","22","R0603",186.905000,-30.016000,-90.000000,top
"R11","22","R0603",119.670928,-59.408000,-90.000000,top
"R12","22","R0603",119.613928,-51.227000,-90.000000,top
"R13","5.1k","R0603",148.313000,-72.304452,180.000000,top
"R14","5.1k","R0603",151.736000,-80.959524,0.000000,top
"R15","1.6k","R0603",194.952000,-96.004072,0.000000,top
"R16","750","R0603",195.002000,-98.161000,0.000000,top
"R17","0","R0603",118.740000,-123.835000,180.000000,top
"R19","22","R0603",120.489928,-68.309000,-90.000000,top
"U1","molex_48pin_MRE","Molex_48_MRE",130.188401,-30.221999,0.000000,top
"U2","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",201.063000,-70.296000,0.000000,top
